listing_id,property_type,country,city,neighborhood,surface_m2,num_rooms,num_bathrooms,floor,year_built,price,listing_date,condition,heating_type,parking,energy_rating
1665, studio,Germany,Berlin,SUBURBS,287,6,2,1,1984,230376,2023-03-12,Old,Electric,YES,G
1870,house,,Naples,,378,3,4,17,1973,1856023,2022-10-25,Old,electric,,c
1415,Villa ,France,Lyon,SUBURBS,277,8,3,5,1980,710838,06/02/2020,,Central,1,D
1504,Villa ,Netherlands,Amsterdam,Suburbs,245,2,4,14,1953,1869348,2019-01-16,,Electric,yes,D
2333,house,Spain,Valencia,City Center,94,4,2,8,2005,1836672,2023-12-03,New,CENTRAL,NO,b
1681,duplex,Switzerland,Lucerne,Industrial,286,,2,5,1986,260677,2021-08-30,Renovated,gas,yes,A
2197, studio,,Lisbon,Historic,82,6,2,11,1992,385119,2023-02-11,Good,CENTRAL,no,A
1943,apartment,Germany,Düsseldorf,City Center,106,,3,20,,1878533,2021-02-22,Old,Solar,no,C
2691,apartment,France,Nice,Residential,9999,6,4,9,1992,1061240,2023-08-16,Good,CENTRAL,NO,D
2582,HOUSE,Portugal,Coimbra,Historic,186,5,2,0,2011,154073,2023-04-14,Good,Electric,YES,G
1445,HOUSE,Switzerland,Lucerne,,84,1,4,5,1953,203122,2019-05-03,Renovated,Electric,Yes,B
1043,Penthouse,Switzerland,Geneva,,70,6,3,12,1957,628565,06-08-2024,,Solar,YES,D
2314,VILLA,Netherlands,Rotterdam,Residential,32,5,2,15,2005,1842992,02-03-2018,,Central,no,E
1019,VILLA,Switzerland,Lausanne,Industrial,238,8,2,14,2010,593564,2020-08-18,,Electric,yes,C
1640,apartment,Netherlands,Rotterdam,Suburbs,59,5,1,16,1965,1390685,2022-07-27,Good,Solar,0,C
1631,duplex,Germany,Hamburg,Suburbs,276,1,,15,,134689,2018-12-30,,Gas,,G
2182,HOUSE,Switzerland,Lucerne,city center,390,7,4,11,1969,725606,26/02/2023,New,CENTRAL,,B
2102, studio,Italy,Bologna,SUBURBS,41,7,3,17,2004,1575663,2021-08-19,Renovated,,NO,b
1970,duplex,Portugal,Porto,Residential,109,1,3,13,1981,1623606,2019-12-28,Renovated,gas,No,F
2690,Penthouse,Italy,Genoa,City Center,339,,3,14,1986,439,2021-11-17,Renovated,CENTRAL,No,D
2615,VILLA,Switzerland,Lucerne,,127,3,1,2,1974,882218,2020-04-29,Good,Solar,No,c
1160, studio,Spain,Seville,Industrial,370,7,1,17,1976,1788011,2021-09-20,Good,,0,B
1615,apartment,Germany,Munich,,260,,2,16,1971,550352,2018-09-01,Old,Solar,0,E
2502,duplex,Italy,Venice,,265,3,1,5,1981,918526,2019-11-22,Good,electric,NO,D
1866,house,Germany,Hamburg,City Center,,7,2,6,2008,428037,2023-07-01,Old,Electric,,C
1224,Penthouse,Germany,Cologne,Industrial,329,3,1,3,2001,733398,2021/07/03,Old,gas,NO,a
2981,duplex,France,Strasbourg,Residential,49,6,1,14,2020,79196,2024-05-24,,Electric,Yes,D
1181,HOUSE,Italy,Venice,Industrial,186,6,3,17,1973,601234,2022-06-29,Good,Solar,No,E
2595,house,France,Strasbourg,city center,9999,6,3,1,,1488893,2018-04-22,Old,Solar,yes,C
1890,APT,Portugal,Faro,Suburbs,259,3,4,12,1979,1210674,2024-10-30,Good,electric,1,C
2310,Villa ,Belgium,Liège,Industrial,,5,2,6,1976,1833601,2022-07-06,New,,0,F
2985,VILLA,Portugal,Faro,Suburbs,201,7,3,13,2013,925966,2018-08-03,,gas,no,F
2618,duplex,Germany,Hamburg,City Center,273,3,2,3,1993,1388670,2021-10-13,New,Central,0,E
2298,Villa ,Italy,Milan,,185,3,3,6,,763456,2024-09-24,Good,Electric,NO,A
2515, studio,Belgium,Namur,Historic,30,2,2,7,2002,387809 EUR,2022-04-14,New,electric,No,F
2664,house,Italy,Rome,Industrial,102,8,4,16,1966,1360777,2024-03-24,Good,gas,,A
2667,VILLA,Switzerland,Lausanne,Historic,92,4,1,1,2011,94322 EUR,2023-05-22,Old,Gas,no,b
